20231101 025100;1.056160;1.056160;1.056030;1.056120;0
20231101 025200;1.056130;1.056280;1.056100;1.056260;0
20231101 025300;1.056250;1.056270;1.056220;1.056240;0
20231101 025400;1.056250;1.056270;1.056040;1.056040;0
20231101 025500;1.056030;1.056060;1.055990;1.056030;0
20231101 025600;1.056040;1.056050;1.055900;1.056030;0
20231101 025700;1.056020;1.056370;1.056020;1.056360;0
20231101 025800;1.056370;1.056440;1.056290;1.056440;0
20231101 025900;1.056430;1.056470;1.056390;1.056460;0
20231101 030000;1.056460;1.056660;1.056440;1.056600;0
20231101 030100;1.056580;1.056580;1.056230;1.056230;0
20231101 030200;1.056240;1.056460;1.056230;1.056370;0
20231101 030300;1.056360;1.056390;1.056300;1.056300;0
20231101 030400;1.056310;1.056310;1.056140;1.056220;0
20231101 030500;1.056240;1.056350;1.056090;1.056150;0
20231101 030600;1.056180;1.056320;1.056140;1.056270;0
20231101 030700;1.056290;1.056300;1.056100;1.056140;0
20231101 030800;1.056150;1.056190;1.056090;1.056090;0
20231101 030900;1.056100;1.056160;1.056040;1.056110;0
20231101 031000;1.056100;1.056350;1.056100;1.056270;0
20231101 031100;1.056250;1.056530;1.056240;1.056500;0
20231101 031200;1.056510;1.056570;1.056480;1.056530;0
20231101 031300;1.056550;1.056700;1.056550;1.056670;0
20231101 031400;1.056660;1.056800;1.056660;1.056750;0
20231101 031500;1.056770;1.056770;1.056400;1.056420;0
20231101 031600;1.056430;1.056430;1.056160;1.056160;0
20231101 031700;1.056190;1.056220;1.055910;1.056040;0
20231101 031800;1.056060;1.056130;1.055960;1.056010;0
20231101 031900;1.055980;1.055980;1.055740;1.055810;0
20231101 032000;1.055790;1.055970;1.055740;1.055840;0
20231101 032100;1.055840;1.056010;1.055840;1.055980;0
20231101 032200;1.055970;1.056050;1.055750;1.055750;0
20231101 032300;1.055740;1.055840;1.055730;1.055810;0
20231101 032400;1.055820;1.055900;1.055800;1.055870;0
20231101 032500;1.055880;1.055880;1.055760;1.055760;0
20231101 032600;1.055780;1.055920;1.055760;1.055900;0
20231101 032700;1.055910;1.056030;1.055890;1.055890;0
20231101 032800;1.055890;1.055910;1.055770;1.055840;0
20231101 032900;1.055830;1.055850;1.055750;1.055800;0
20231101 033000;1.055790;1.055800;1.055750;1.055760;0
20231101 033100;1.055750;1.055800;1.055740;1.055750;0
20231101 033200;1.055760;1.055970;1.055750;1.055950;0
20231101 033300;1.055940;1.055950;1.055880;1.055890;0
20231101 033400;1.055890;1.055910;1.055750;1.055750;0
20231101 033500;1.055760;1.055870;1.055750;1.055800;0
20231101 033600;1.055810;1.055850;1.055730;1.055840;0
20231101 033700;1.055840;1.055870;1.055750;1.055770;0
20231101 033800;1.055770;1.055830;1.055740;1.055810;0
20231101 033900;1.055820;1.055960;1.055770;1.055770;0
20231101 034000;1.055760;1.055860;1.055750;1.055810;0
20231101 034100;1.055810;1.055870;1.055770;1.055860;0
20231101 034200;1.055870;1.055910;1.055760;1.055770;0
20231101 034300;1.055770;1.055840;1.055740;1.055760;0
20231101 034400;1.055770;1.055860;1.055750;1.055860;0
20231101 034500;1.055900;1.055930;1.055790;1.055860;0
20231101 034600;1.055860;1.055900;1.055760;1.055760;0
20231101 034700;1.055740;1.055790;1.055730;1.055770;0
20231101 034800;1.055770;1.055860;1.055770;1.055810;0
20231101 034900;1.055810;1.055840;1.055760;1.055810;0
20231101 035000;1.055820;1.055890;1.055800;1.055890;0
20231101 035100;1.055890;1.055920;1.055860;1.055860;0
20231101 035200;1.055860;1.055860;1.055750;1.055750;0
20231101 035300;1.055760;1.055820;1.055740;1.055750;0
20231101 035400;1.055750;1.055770;1.055740;1.055760;0
20231101 035500;1.055760;1.055800;1.055740;1.055760;0
20231101 035600;1.055750;1.055770;1.055740;1.055750;0
20231101 035700;1.055750;1.055790;1.055720;1.055740;0
20231101 035800;1.055730;1.055770;1.055730;1.055770;0
20231101 035900;1.055760;1.055840;1.055740;1.055820;0
20231101 040000;1.055810;1.055960;1.055760;1.055950;0
20231101 040100;1.055940;1.055970;1.055890;1.055960;0
20231101 040200;1.055970;1.056160;1.055960;1.056120;0
20231101 040300;1.056110;1.056260;1.056050;1.056060;0
20231101 040400;1.056060;1.056180;1.056030;1.056120;0
20231101 040500;1.056140;1.056140;1.056080;1.056090;0
20231101 040600;1.056090;1.056160;1.056050;1.056070;0
20231101 040700;1.056070;1.056250;1.056070;1.056200;0
20231101 040800;1.056210;1.056210;1.055960;1.055960;0
20231101 040900;1.055960;1.055960;1.055750;1.055750;0
20231101 041000;1.055750;1.055880;1.055740;1.055880;0
20231101 041100;1.055900;1.055930;1.055870;1.055900;0
20231101 041200;1.055900;1.055980;1.055900;1.055900;0
20231101 041300;1.055880;1.055890;1.055800;1.055870;0
20231101 041400;1.055870;1.055870;1.055750;1.055800;0
20231101 041500;1.055800;1.055800;1.055730;1.055750;0
20231101 041600;1.055740;1.055900;1.055730;1.055850;0
20231101 041700;1.055860;1.055900;1.055810;1.055900;0
20231101 041800;1.055890;1.055900;1.055820;1.055840;0
20231101 041900;1.055850;1.055900;1.055850;1.055900;0
20231101 042000;1.055890;1.055890;1.055740;1.055740;0
20231101 042100;1.055750;1.055810;1.055750;1.055760;0
20231101 042200;1.055750;1.055790;1.055750;1.055760;0
20231101 042300;1.055780;1.055810;1.055750;1.055800;0
20231101 042400;1.055800;1.055810;1.055740;1.055750;0
20231101 042500;1.055760;1.055800;1.055730;1.055750;0
20231101 042600;1.055750;1.055750;1.055230;1.055330;0
20231101 042700;1.055330;1.055350;1.055200;1.055210;0
20231101 042800;1.055230;1.055250;1.055200;1.055210;0
20231101 042900;1.055200;1.055230;1.055190;1.055200;0
20231101 043000;1.055210;1.055250;1.055050;1.055050;0
20231101 043100;1.055060;1.055190;1.055050;1.055190;0
20231101 043200;1.055170;1.055180;1.054790;1.054790;0
20231101 043300;1.054800;1.054870;1.054710;1.054710;0
20231101 043400;1.054700;1.054810;1.054600;1.054780;0
20231101 043500;1.054750;1.054800;1.054610;1.054660;0
20231101 043600;1.054670;1.054810;1.054660;1.054720;0
20231101 043700;1.054710;1.054820;1.054710;1.054780;0
20231101 043800;1.054790;1.054880;1.054760;1.054860;0
20231101 043900;1.054870;1.054880;1.054810;1.054860;0
20231101 044000;1.054860;1.054880;1.054600;1.054600;0
20231101 044100;1.054610;1.054730;1.054600;1.054720;0
20231101 044200;1.054740;1.054830;1.054730;1.054830;0
20231101 044300;1.054830;1.054970;1.054820;1.054970;0
20231101 044400;1.054930;1.054930;1.054710;1.054820;0
20231101 044500;1.054810;1.054980;1.054800;1.054910;0
20231101 044600;1.054910;1.055040;1.054860;1.054940;0
20231101 044700;1.054940;1.055020;1.054920;1.055020;0
20231101 044800;1.055020;1.055030;1.054890;1.054960;0
20231101 044900;1.054960;1.054960;1.054820;1.054850;0
20231101 045000;1.054840;1.054840;1.054620;1.054710;0
20231101 045100;1.054720;1.054750;1.054600;1.054600;0
20231101 045200;1.054610;1.054620;1.054540;1.054600;0
20231101 045300;1.054610;1.054740;1.054600;1.054740;0
20231101 045400;1.054740;1.054920;1.054720;1.054920;0
20231101 045500;1.054920;1.054920;1.054860;1.054870;0
20231101 045600;1.054870;1.054880;1.054810;1.054810;0
20231101 045700;1.054810;1.054850;1.054780;1.054810;0
20231101 045800;1.054820;1.054870;1.054790;1.054870;0
20231101 045900;1.054890;1.054970;1.054890;1.054920;0
20231101 050000;1.054930;1.054980;1.054810;1.054860;0
20231101 050100;1.054860;1.054880;1.054810;1.054860;0
20231101 050200;1.054850;1.054850;1.054790;1.054820;0
20231101 050300;1.054810;1.054860;1.054610;1.054620;0
20231101 050400;1.054630;1.054720;1.054560;1.054720;0
20231101 050500;1.054710;1.054720;1.054670;1.054700;0
20231101 050600;1.054700;1.054710;1.054640;1.054710;0
20231101 050700;1.054710;1.054770;1.054710;1.054720;0
20231101 050800;1.054700;1.054710;1.054650;1.054680;0
20231101 050900;1.054670;1.054730;1.054650;1.054720;0
20231101 051000;1.054720;1.054720;1.054710;1.054720;0
20231101 051100;1.054710;1.054770;1.054710;1.054720;0
20231101 051200;1.054710;1.054730;1.054640;1.054700;0
20231101 051300;1.054690;1.054860;1.054650;1.054850;0
20231101 051400;1.054840;1.054990;1.054730;1.054990;0
20231101 051500;1.054980;1.055000;1.054930;1.054990;0
20231101 051600;1.055000;1.055010;1.054930;1.054950;0
20231101 051700;1.054950;1.054970;1.054840;1.054840;0
20231101 051800;1.054860;1.054960;1.054850;1.054920;0
20231101 051900;1.054910;1.054960;1.054870;1.054920;0
20231101 052000;1.054910;1.054910;1.054670;1.054670;0
20231101 052100;1.054650;1.054720;1.054650;1.054710;0
20231101 052200;1.054710;1.054760;1.054670;1.054670;0
20231101 052300;1.054670;1.054680;1.054650;1.054680;0
20231101 052400;1.054670;1.054710;1.054650;1.054670;0
20231101 052500;1.054680;1.054750;1.054660;1.054730;0
20231101 052600;1.054750;1.054830;1.054710;1.054830;0
20231101 052700;1.054830;1.054860;1.054740;1.054750;0
20231101 052800;1.054740;1.054810;1.054700;1.054770;0
20231101 052900;1.054780;1.054830;1.054770;1.054830;0
20231101 053000;1.054820;1.054820;1.054660;1.054670;0
20231101 053100;1.054670;1.054750;1.054670;1.054750;0
20231101 053200;1.054750;1.054750;1.054670;1.054670;0
20231101 053300;1.054680;1.054700;1.054670;1.054670;0
20231101 053400;1.054690;1.054820;1.054690;1.054780;0
20231101 053500;1.054800;1.054840;1.054690;1.054690;0
20231101 053600;1.054750;1.054770;1.054720;1.054760;0
20231101 053700;1.054770;1.054970;1.054770;1.054930;0
20231101 053800;1.054910;1.055030;1.054900;1.054980;0
20231101 053900;1.054980;1.054990;1.054940;1.054970;0
